freq,unit,na_item,geo,time,value
A,CP_PPS_EU27_2020_HAB,P41,AT,2016,23408.9
A,CP_PPS_EU27_2020_HAB,P41,AT,2017,23882.3
A,CP_PPS_EU27_2020_HAB,P41,AT,2018,24516.7
A,CP_PPS_EU27_2020_HAB,P41,AT,2019,24965.0
A,CP_PPS_EU27_2020_HAB,P41,AT,2020,23604.3
A,CP_PPS_EU27_2020_HAB,P41,AT,2021,25686.7
A,CP_PPS_EU27_2020_HAB,P41,AT,2022,28670.4
A,CP_PPS_EU27_2020_HAB,P41,AT,2023,30138.3
A,CP_PPS_EU27_2020_HAB,P41,AT,2024,31379.6
A,CP_PPS_EU27_2020_HAB,P41,BE,2015,22339.7
A,CP_PPS_EU27_2020_HAB,P41,BE,2016,22670.2
A,CP_PPS_EU27_2020_HAB,P41,BE,2017,23338.4
A,CP_PPS_EU27_2020_HAB,P41,BE,2018,24076.4
A,CP_PPS_EU27_2020_HAB,P41,BE,2019,24638.0
A,CP_PPS_EU27_2020_HAB,P41,BE,2020,23612.1
A,CP_PPS_EU27_2020_HAB,P41,BE,2021,25314.9
A,CP_PPS_EU27_2020_HAB,P41,BE,2022,28396.9
A,CP_PPS_EU27_2020_HAB,P41,BE,2023,30338.0
A,CP_PPS_EU27_2020_HAB,P41,BE,2024,31479.6
A,CP_PPS_EU27_2020_HAB,P41,BG,2015,9522.7
A,CP_PPS_EU27_2020_HAB,P41,BG,2016,9841.1
A,CP_PPS_EU27_2020_HAB,P41,BG,2017,10396.1
A,CP_PPS_EU27_2020_HAB,P41,BG,2018,11035.1
A,CP_PPS_EU27_2020_HAB,P41,BG,2019,11743.7
A,CP_PPS_EU27_2020_HAB,P41,BG,2020,11830.3
A,CP_PPS_EU27_2020_HAB,P41,BG,2021,13391.8
A,CP_PPS_EU27_2020_HAB,P41,BG,2022,15053.2
A,CP_PPS_EU27_2020_HAB,P41,BG,2023,16312.1
A,CP_PPS_EU27_2020_HAB,P41,BG,2024,17891.3
A,CP_PPS_EU27_2020_HAB,P41,CY,2015,16985.7
A,CP_PPS_EU27_2020_HAB,P41,CY,2016,17860.7
A,CP_PPS_EU27_2020_HAB,P41,CY,2017,18817.7
A,CP_PPS_EU27_2020_HAB,P41,CY,2018,19647.8
A,CP_PPS_EU27_2020_HAB,P41,CY,2019,20649.1
A,CP_PPS_EU27_2020_HAB,P41,CY,2020,19596.4
A,CP_PPS_EU27_2020_HAB,P41,CY,2021,20565.0
A,CP_PPS_EU27_2020_HAB,P41,CY,2022,23490.7
A,CP_PPS_EU27_2020_HAB,P41,CY,2023,25642.3
A,CP_PPS_EU27_2020_HAB,P41,CY,2024,26819.7
A,CP_PPS_EU27_2020_HAB,P41,CZ,2015,14337.0
A,CP_PPS_EU27_2020_HAB,P41,CZ,2016,14877.5
A,CP_PPS_EU27_2020_HAB,P41,CZ,2017,15970.1
A,CP_PPS_EU27_2020_HAB,P41,CZ,2018,16924.2
A,CP_PPS_EU27_2020_HAB,P41,CZ,2019,17698.6
A,CP_PPS_EU27_2020_HAB,P41,CZ,2020,17275.5
A,CP_PPS_EU27_2020_HAB,P41,CZ,2021,18132.8
A,CP_PPS_EU27_2020_HAB,P41,CZ,2022,19418.0
A,CP_PPS_EU27_2020_HAB,P41,CZ,2023,20493.2
A,CP_PPS_EU27_2020_HAB,P41,CZ,2024,21409.1
A,CP_PPS_EU27_2020_HAB,P41,DE,2015,23145.7
A,CP_PPS_EU27_2020_HAB,P41,DE,2016,23816.8
A,CP_PPS_EU27_2020_HAB,P41,DE,2017,24570.0
A,CP_PPS_EU27_2020_HAB,P41,DE,2018,25355.0
A,CP_PPS_EU27_2020_HAB,P41,DE,2019,25825.6
A,CP_PPS_EU27_2020_HAB,P41,DE,2020,24947.9
A,CP_PPS_EU27_2020_HAB,P41,DE,2021,26407.6
A,CP_PPS_EU27_2020_HAB,P41,DE,2022,29139.1
A,CP_PPS_EU27_2020_HAB,P41,DE,2023,30234.5
A,CP_PPS_EU27_2020_HAB,P41,DE,2024,31609.8
A,CP_PPS_EU27_2020_HAB,P41,DK,2015,23061.2
A,CP_PPS_EU27_2020_HAB,P41,DK,2016,23446.3
A,CP_PPS_EU27_2020_HAB,P41,DK,2017,24479.3
A,CP_PPS_EU27_2020_HAB,P41,DK,2018,25301.7
A,CP_PPS_EU27_2020_HAB,P41,DK,2019,25569.9
A,CP_PPS_EU27_2020_HAB,P41,DK,2020,25739.5
A,CP_PPS_EU27_2020_HAB,P41,DK,2021,27852.1
A,CP_PPS_EU27_2020_HAB,P41,DK,2022,28675.2
A,CP_PPS_EU27_2020_HAB,P41,DK,2023,29375.7
A,CP_PPS_EU27_2020_HAB,P41,DK,2024,30354.4
A,CP_PPS_EU27_2020_HAB,P41,EE,2015,13380.0
A,CP_PPS_EU27_2020_HAB,P41,EE,2016,13928.1
A,CP_PPS_EU27_2020_HAB,P41,EE,2017,14548.7
A,CP_PPS_EU27_2020_HAB,P41,EE,2018,15516.2
A,CP_PPS_EU27_2020_HAB,P41,EE,2019,16237.7
A,CP_PPS_EU27_2020_HAB,P41,EE,2020,16246.2
A,CP_PPS_EU27_2020_HAB,P41,EE,2021,17468.6
A,CP_PPS_EU27_2020_HAB,P41,EE,2022,19162.1
A,CP_PPS_EU27_2020_HAB,P41,EE,2023,20022.2
A,CP_PPS_EU27_2020_HAB,P41,EE,2024,20763.0
A,CP_PPS_EU27_2020_HAB,P41,EL,2015,14769.7
A,CP_PPS_EU27_2020_HAB,P41,EL,2016,14785.5
A,CP_PPS_EU27_2020_HAB,P41,EL,2017,15372.2
A,CP_PPS_EU27_2020_HAB,P41,EL,2018,15833.2
