freq,unit,mot_nrg,geo,time,value
A,NR,DIE_X_HYB,DK,2023,8132
A,NR,DIE_X_HYB,DK,2024,7048
A,NR,DIE_X_HYB,EE,2015,6949
A,NR,DIE_X_HYB,EE,2016,6392
A,NR,DIE_X_HYB,EE,2017,6408
A,NR,DIE_X_HYB,EE,2018,6454
A,NR,DIE_X_HYB,EE,2019,6180
A,NR,DIE_X_HYB,EE,2020,4863
A,NR,DIE_X_HYB,EE,2021,4251
A,NR,DIE_X_HYB,EE,2022,3336
A,NR,DIE_X_HYB,EE,2023,2867
A,NR,DIE_X_HYB,EE,2024,4508
A,NR,DIE_X_HYB,EL,2021,17004
A,NR,DIE_X_HYB,EL,2022,17047
A,NR,DIE_X_HYB,EL,2023,17691
A,NR,DIE_X_HYB,EL,2024,9827
A,NR,DIE_X_HYB,ES,2015,658725
A,NR,DIE_X_HYB,ES,2016,725953
A,NR,DIE_X_HYB,ES,2017,690523
A,NR,DIE_X_HYB,ES,2018,572154
A,NR,DIE_X_HYB,ES,2019,440448
A,NR,DIE_X_HYB,ES,2020,305013
A,NR,DIE_X_HYB,ES,2021,224708
A,NR,DIE_X_HYB,ES,2022,170932
A,NR,DIE_X_HYB,ES,2023,143811
A,NR,DIE_X_HYB,ES,2024,137867
A,NR,DIE_X_HYB,FI,2015,38800
A,NR,DIE_X_HYB,FI,2016,39452
A,NR,DIE_X_HYB,FI,2017,36062
A,NR,DIE_X_HYB,FI,2018,28712
A,NR,DIE_X_HYB,FI,2019,20873
A,NR,DIE_X_HYB,FI,2020,12778
A,NR,DIE_X_HYB,FI,2021,8397
A,NR,DIE_X_HYB,FI,2022,5420
A,NR,DIE_X_HYB,FI,2023,3890
A,NR,DIE_X_HYB,FI,2024,3401
A,NR,DIE_X_HYB,FR,2015,1070443
A,NR,DIE_X_HYB,FR,2016,1027912
A,NR,DIE_X_HYB,FR,2017,1013099
A,NR,DIE_X_HYB,FR,2018,856583
A,NR,DIE_X_HYB,FR,2019,761198
A,NR,DIE_X_HYB,FR,2020,513168
A,NR,DIE_X_HYB,FR,2021,354949
A,NR,DIE_X_HYB,FR,2022,241783
A,NR,DIE_X_HYB,FR,2023,196837
A,NR,DIE_X_HYB,FR,2024,152223
A,NR,DIE_X_HYB,HR,2020,12885
A,NR,DIE_X_HYB,HR,2021,8904
A,NR,DIE_X_HYB,HR,2022,7788
A,NR,DIE_X_HYB,HR,2023,9219
A,NR,DIE_X_HYB,HR,2024,10691
A,NR,DIE_X_HYB,HU,2015,32265
A,NR,DIE_X_HYB,HU,2016,34688
A,NR,DIE_X_HYB,HU,2017,37022
A,NR,DIE_X_HYB,HU,2018,32408
A,NR,DIE_X_HYB,HU,2019,31221
A,NR,DIE_X_HYB,HU,2020,27711
A,NR,DIE_X_HYB,HU,2021,19092
A,NR,DIE_X_HYB,HU,2022,14322
A,NR,DIE_X_HYB,HU,2023,13105
A,NR,DIE_X_HYB,HU,2024,14693
A,NR,DIE_X_HYB,IE,2017,87640
A,NR,DIE_X_HYB,IE,2018,70732
A,NR,DIE_X_HYB,IE,2019,59879
A,NR,DIE_X_HYB,IE,2020,41134
A,NR,DIE_X_HYB,IE,2021,37772
